TKIM,8200,8175,9050,8050,9000,800
TLKM,3690,3750,3830,3730,3780,90
TMAS,800,790,790,790,790,10
TMPI,50,50,50,50,50,0
TMPO,171,160,180,160,180,9
TNCA,270,280,300,250,290,20
TOBA,1700,1700,1700,1650,1700,0
TOPS,770,770,770,725,750,20
TOTL,540,545,555,540,540,0
TOTO,362,362,364,360,360,2
TOWR,675,675,715,670,705,30
TPIA,5125,5125,5350,4990,5100,25
TPMA,332,332,340,282,330,2
TRAM,127,128,130,124,125,2
TRIL,50,50,50,50,50,0
TRIM,165,165,165,165,165,0
TRIO,50,50,50,50,50,0
TRIS,218,216,238,216,236,18
TRST,370,430,430,430,430,60
TRUK,105,105,107,102,107,2
TRUS,300,300,300,300,300,0
TSPC,1600,1600,1600,1590,1600,0
TUGU,2980,2970,2970,2970,2970,10
TURI,1105,1110,1110,1110,1110,5
ULTJ,1345,1345,1360,1325,1350,5
UNIC,4180,4170,4170,4170,4170,10
UNIT,206,200,206,200,206,0
UNSP,99,99,99,98,99,0
UNTR,24300,24300,25225,24300,24875,575
UNVR,42500,42750,43750,42750,43500,1000
URBN,2380,2380,2380,2370,2380,0
VICO,102,102,105,100,105,3
VINS,91,92,92,91,92,1
VIVA,134,134,137,127,128,6
VOKS,312,314,324,312,318,6
VRNA,121,121,121,121,121,0
WAPO,85,85,88,80,85,0
WEGE,314,314,322,312,312,2
WEHA,147,147,150,147,150,3
WICO,620,620,620,620,620,0
WIIM,218,220,230,214,214,4
WIKA,2200,2210,2270,2170,2260,60
WINS,192,192,192,192,192,0
WOMF,314,314,314,310,312,2
WOOD,900,900,910,870,895,5
WSBP,398,394,394,388,390,8
WSKT,1795,1790,1795,1760,1760,35
WTON,505,500,515,500,510,5
XBID,546,546,546,546,546,0
XBLQ,500,500,500,500,500,0
XBNI,1053,1053,1053,1053,1053,0
XBSK,392,392,392,392,392,0
XCID,64,65,65,65,65,1
XCIS,105,105,105,105,105,0
XDIF,470,470,470,470,470,0
XIHD,502,502,502,502,502,0
XIIC,1055,1117,1117,1117,1117,62
XIIF,680,672,672,672,672,8
XIIT,546,547,547,547,547,1
XIJI,662,662,662,662,662,0
XIPI,168,168,168,168,168,0
XISB,398,398,398,398,398,0
XISC,720,720,720,720,720,0
XISI,342,342,342,342,342,0
XISR,387,387,387,387,387,0
XMJM,1000,1000,1000,1000,1000,0
XMTS,531,531,531,531,531,0
XPDV,464,464,464,464,464,0
XPES,406,406,406,406,406,0
XPFT,523,523,523,523,523,0
XPID,497,497,497,497,497,0
XPLC,482,482,482,482,482,0
XPLQ,509,507,507,507,507,2
XPMI,920,920,920,920,920,0
XPSG,419,419,419,419,419,0
XPTD,511,511,511,511,511,0
XSBC,105,105,105,105,105,0
YELO,193,185,193,185,189,4
YPAS,450,450,450,450,450,0
YULE,152,150,150,150,150,2
ZBRA,50,50,50,50,50,0
ZINC,476,476,482,450,460,16
ZONE,675,675,700,650,700,25
AGRI,1385.761,1385.761,1392.398,1380.691,1384.515,1.246
BASIC-IND,745.092,745.092,754.222,739.196,747.205,2.113
BISNIS-27,524.876,524.876,533.954,527.912,532.623,7.747
COMPOSITE,6033.142,6033.142,6112.431,6054.571,6104.106,70.964
CONSUMER,2363.355,2363.355,2403.409,2372.196,2400.344,36.989
DBX,1014.88,1014.88,1020.526,1012.746,1019.079,4.199
FINANCE,1213.25,1213.25,1232.749,1221.172,1228.197,14.947
IDX30,519.849,519.849,529.104,522.98,528.001,8.152
INFOBANK15,929.687,929.687,947.762,937.26,942.475,12.788
INFRASTRUC,1109.064,1109.064,1138.442,1115.699,1133.608,24.544
ISSI,176.905,176.905,179.215,177.066,178.398,1.493
JII,638.722,638.722,651.26,639.721,646.39,7.668
KOMPAS100,1210.14,1210.14,1231.423,1215.939,1228.089,17.949
LQ45,944.857,944.857,961.832,950.143,959.341,14.484
MANUFACTUR,1459.563,1459.563,1482.839,1459.986,1477.779,18.216
MBX,1696.278,1696.278,1720.418,1703.143,1718.019,21.741
MINING,1641.768,1641.768,1647.539,1631.698,1640.858,0.91
MISC-IND,1238.61,1238.61,1268.918,1235.52,1258.708,20.098
PEFINDO25,333.012,333.012,338.629,332.293,338.311,5.299
PROPERTY,450.659,450.659,454.115,450.67,453.797,3.138
SRI-KEHATI,372.697,372.697,380.06,375.462,378.884,6.187
TRADE,787.988,787.988,794.669,787.71,793.479,5.491
APIC-W,262,262,262,262,262,0
APOL-W2,1,1,1,1,1,0
BABP-W2,37,38,38,37,37,0
BABP-W3,46,46,48,46,48,2
BACA-W2,100,100,100,100,100,0
BEEF-W,52,53,53,46,51,1
BIPP-W2,1,1,1,1,1,0
BKSL-W,27,28,30,27,29,2
BOGA-W,600,600,600,600,600,0
BRPT-W,1890,1700,2200,1605,2200,310
BSIM-W3,71,71,71,50,71,0
BULL-W,99,99,99,99,99,0
BULL-W2,22,22,24,21,23,1
CAKK-W,36,37,38,35,36,0
CASA-W,200,157,157,157,157,43
